"Organizace","P1.vysledky","P1.body","P2.bonifikace","P2.excelent","P3.body","Body2012","Celkem","Soubor","URL"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / Fakulta stavebnĂ­","1Â 436,497","29Â 428,209","0,000","5Â 818,942","4Â 756,365","19Â 543,469","59Â 546,985","H14_orjk_21110.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21110.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / Fakulta strojnĂ­","728,370","13Â 248,783","0,000","4Â 296,367","8Â 864,539","18Â 872,883","45Â 282,572","H14_orjk_21220.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21220.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / Inovacentrum","0,000","0,000","0,000","0,582","99,308","0,000","99,890","H14_orjk_21710.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21710.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / KloknerĹŻv Ăşstav","118,894","1Â 886,869","0,000","493,154","962,450","2Â 362,306","5Â 704,779","H14_orjk_21610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21610.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / MasarykĹŻv Ăşstav vyĹˇĹˇĂ­ch studiĂ­","6,074","127,561","0,000","20,242","0,000","0,000","147,803","H14_orjk_21630.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21630.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_68407700_.xlsx","http://www.isvav.cz/h14/export/H14_ico_68407700_.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / RektorĂˇt ÄŚVUT","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_21810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21810.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / TechnologickĂ© a inovaÄŤnĂ­ centrum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_21650.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21650.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / UniverzitnĂ­ centrum energeticky efektivnĂ­ch budov","5,483","29,650","0,000","0,311","8,370","0,000","38,331","H14_orjk_21720.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21720.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / Ăšstav technickĂ© a experimentĂˇlnĂ­ fyziky ÄŚVUT","170,994","7Â 962,628","0,000","873,128","800,581","914,223","10Â 550,560","H14_orjk_21670.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21670.xlsx"
"ÄŚeskĂ© vysokĂ© uÄŤenĂ­ technickĂ© v Praze / Ăšstav tÄ›lesnĂ© vĂ˝chovy a sportu","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_21690.xlsx","http://www.isvav.cz/h14/export/H14_orjk_21690.xlsx"
